Fecha,Usuario,COP/Kwh-PPP,Gwh
2000-01-01,Regulados,44.264999656179256,2260.513928540001
2000-01-01,NoRegulados,41.68805297473928,860.7128878399999
2000-02-01,Regulados,45.79571199636475,2174.3040390799997
2000-02-01,NoRegulados,42.89694479575077,949.2275787100001
2000-03-01,Regulados,45.72879416518475,2316.3343286000004
2000-03-01,NoRegulados,42.7850116415818,1024.2497439100002
2000-04-01,Regulados,46.43269164882529,2244.0735716299996
2000-04-01,NoRegulados,43.594508920514066,992.82072033
2000-05-01,Regulados,43.215448933196704,2364.1703135099997
2000-05-01,NoRegulados,42.24928675589421,1096.89137758
2000-06-01,Regulados,43.631096251503976,2274.93631284
2000-06-01,NoRegulados,42.43619209510913,1061.39211511
2000-07-01,Regulados,43.83188952405832,2344.11193996
2000-07-01,NoRegulados,43.69655415645956,1049.99588414
2000-08-01,Regulados,44.11790729650081,2387.651188039999
2000-08-01,NoRegulados,44.32675902908247,1103.8858768399996
2000-09-01,Regulados,45.51258942786312,2311.8937733599996
2000-09-01,NoRegulados,43.125081517636644,1139.9643714100002
2000-10-01,Regulados,45.187221296733235,2408.7185805299996
2000-10-01,NoRegulados,42.86279079402603,1184.76186495
2000-11-01,Regulados,45.89125792968675,2317.724522390001
2000-11-01,NoRegulados,43.385602289906245,1253.42013993
2000-12-01,Regulados,49.86402003366919,2442.02695484
2000-12-01,NoRegulados,44.57330495861103,1236.4494332999998
2001-01-01,Regulados,52.446220217787456,2098.971741559999
2001-01-01,NoRegulados,45.27214880393191,1076.68066798
2001-02-01,Regulados,53.34742660757645,1931.6938020499997
2001-02-01,NoRegulados,48.694255877939995,1209.1138643100003
2001-03-01,Regulados,54.37251777396303,2310.053068180001
2001-03-01,NoRegulados,49.12766101812704,1329.4803765499998
2001-04-01,Regulados,55.64932534274006,2217.18156718
2001-04-01,NoRegulados,50.213745834214656,1211.2505434
2001-05-01,Regulados,55.213667808864514,2296.6263303199994
2001-05-01,NoRegulados,50.25685941596795,1288.6468842900006
2001-06-01,Regulados,54.73860622721543,2137.77759468
2001-06-01,NoRegulados,49.74594036185449,1264.8682024199995
2001-07-01,Regulados,55.26547451990293,2407.46025999
2001-07-01,NoRegulados,49.92435173458222,1321.2834104100002
2001-08-01,Regulados,55.31026699268368,2353.54578421
2001-08-01,NoRegulados,49.512099760912214,1410.7914416899998
2001-09-01,Regulados,56.4432835360552,2335.2517522200005
2001-09-01,NoRegulados,51.205134836268876,1338.4174550199996
2001-10-01,Regulados,56.91192496565805,2425.0609614
2001-10-01,NoRegulados,48.777869042599306,1353.4009241899996
2001-11-01,Regulados,58.12900852083788,2368.5488559200003
2001-11-01,NoRegulados,49.808186151156534,1390.1020403099997
2001-12-01,Regulados,61.16635326217659,2468.424496230001
2001-12-01,NoRegulados,50.72995025266787,1375.5940424299997
2002-01-01,Regulados,62.56110071116843,2259.68456954
2002-01-01,NoRegulados,59.155842000686086,1512.572550339999
2002-02-01,Regulados,63.698150328590614,2102.07592905
2002-02-01,NoRegulados,60.14594559508639,1463.894077940001
2002-03-01,Regulados,64.11063856494061,2274.612582049999
2002-03-01,NoRegulados,60.15370571209186,1617.7271769099993
2002-04-01,Regulados,64.42257998958152,2363.8393746399993
2002-04-01,NoRegulados,60.7453997039222,1614.8010453600002
2002-05-01,Regulados,63.01445672515416,2507.31743364
2002-05-01,NoRegulados,61.00671251286057,1608.9227173999993
2002-06-01,Regulados,62.91408309341527,2394.0468600000004
2002-06-01,NoRegulados,59.7349187731959,1568.9706953000004
2002-07-01,Regulados,63.29548594002899,2467.3674895099994
2002-07-01,NoRegulados,60.020157478810546,1593.1697366599994
2002-08-01,Regulados,64.38261664844048,2463.384075899999
2002-08-01,NoRegulados,61.22364133294724,1728.6083341100002
2002-09-01,Regulados,66.22557953940616,2403.0254741000003
2002-09-01,NoRegulados,61.18489694559166,1647.891573270001
2002-10-01,Regulados,68.42000536125157,2532.16843218
2002-10-01,NoRegulados,64.0952571371285,1733.065644019999
2002-11-01,Regulados,68.95554608954704,2436.3084394499997
2002-11-01,NoRegulados,64.23514088391195,1648.0130187600003
2002-12-01,Regulados,72.22916303124099,2594.96617607
2002-12-01,NoRegulados,64.47232577098245,1846.2562125899992
2003-01-01,Regulados,75.7210402252167,2430.69178333
2003-01-01,NoRegulados,66.02737696376094,1540.8336229200002
2003-02-01,Regulados,76.30182666816764,2328.2434581400003
2003-02-01,NoRegulados,66.11159892536371,1518.61023862
2003-03-01,Regulados,77.6837595498014,2523.8526095400002
2003-03-01,NoRegulados,66.04885624082397,1798.9756604099998
2003-04-01,Regulados,78.24748407684692,2385.2562173400006
2003-04-01,NoRegulados,67.54884592572229,1623.8074766400002
2003-05-01,Regulados,76.13769870947154,2471.5430065699993
2003-05-01,NoRegulados,67.97011389732312,1700.0820428700006
2003-06-01,Regulados,74.98387382228762,2342.23730837
2003-06-01,NoRegulados,67.90591956499522,1652.2584711800007
2003-07-01,Regulados,75.01590604048592,2410.6848591000003
2003-07-01,NoRegulados,67.60724025174109,1763.9748234600006
2003-08-01,Regulados,75.37858294105625,2406.1763969099998
2003-08-01,NoRegulados,67.47171599076958,1722.12456001
2003-09-01,Regulados,76.10609318804003,2387.78929023
2003-09-01,NoRegulados,67.78699654766655,1618.2482726499998
2003-10-01,Regulados,75.9944470883764,2466.671778820001
2003-10-01,NoRegulados,67.21543194576998,1651.9779697999986
2003-11-01,Regulados,76.86445546622852,2376.592948640001
2003-11-01,NoRegulados,68.14392323293359,1593.7979573299988
